# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    1.47e+02  4.72e+01    9.30e+00  9.39e+00    4.63e+00  1.48e+00    1.0e-03
    500    9.85e+01  1.99e+01    5.46e+00  5.52e+00    3.11e+00  6.20e-01    1.0e-03
   1000    9.84e+01  1.69e+01    3.97e+00  3.95e+00    3.11e+00  5.30e-01    1.0e-03
   1500    9.84e+01  5.69e+00    2.04e+00  1.98e+00    3.11e+00  1.76e-01    1.0e-03
   2000    9.84e+01  8.05e+00    1.07e+00  1.03e+00    3.11e+00  2.54e-01    1.0e-03
   2500    9.84e+01  2.81e+01    6.24e-01  6.32e-01    3.11e+00  8.88e-01    1.0e-03
   3000    9.85e+01  1.88e+01    5.09e-01  5.46e-01    3.11e+00  5.96e-01    1.0e-03
   3500    9.85e+01  1.35e+01    1.30e-01  8.40e-02    3.11e+00  4.28e-01    1.0e-03
   4000    9.85e+01  1.46e+01    1.79e-01  1.99e-01    3.12e+00  4.63e-01    1.0e-03
   4500    9.85e+01  5.97e+01    1.05e-01  8.98e-02    3.11e+00  1.89e+00    1.0e-03
   5000    8.21e+00  1.22e+00    1.35e-01  9.39e-02    3.11e+00  4.37e-01    5.9e-06
   5500    8.20e+00  8.47e+00    1.05e-01  7.68e-02    3.11e+00  3.22e+00    5.9e-06
   6000    8.20e+00  1.32e+00    8.16e-02  5.00e-02    3.11e+00  4.95e-01    5.9e-06
   6500    8.19e+00  1.31e+00    6.50e-02  3.78e-02    3.11e+00  4.93e-01    5.9e-06
   7000    8.19e+00  1.48e+01    5.56e-02  4.90e-02    3.11e+00  5.63e+00    5.9e-06
   7500    8.19e+00  2.38e+01    5.22e-02  4.27e-03    3.11e+00  9.06e+00    5.9e-06
   8000    8.19e+00  1.95e+00    5.11e-02  3.47e-02    3.11e+00  7.37e-01    5.9e-06
   8500    8.19e+00  6.90e-01    5.10e-02  5.56e-02    3.11e+00  2.45e-01    5.9e-06
   9000    8.19e+00  7.52e-01    5.10e-02  1.46e-02    3.11e+00  2.85e-01    5.9e-06
   9500    8.19e+00  4.62e+00    5.10e-02  1.25e-01    3.11e+00  1.74e+00    5.9e-06
  10000    3.18e+00  3.34e-01    5.10e-02  5.83e-02    3.11e+00  2.05e-01    3.5e-08
